0.059,-0.03,0.0033,0.11,0.01,-0.0015,-0.026,0.00075,-0.0093,-0.53,0.015,-1.1e-06,-0.0064,0.037,9.8e-06
0.068,-0.029,0.0031,0.085,0.029,-0.0013,-0.019,-0.0022,-0.0089,-0.53,0.019,-4.1e-07,-0.0067,0.04,3.3e-06
0.074,-0.025,0.003,0.021,0.062,-0.0012,-0.012,-0.0049,-0.0086,-0.53,0.023,-5.9e-07,-0.0056,0.042,-7.1e-06
0.074,-0.019,0.0029,-0.012,0.076,-0.0012,-0.0048,-0.0071,-0.0083,-0.53,0.027,-1.8e-06,-0.002,0.039,-1.8e-05
0.075,0.19,0.0023,0.07,2.4,-0.012,0.0026,-0.00073,-0.0081,-0.53,0.031,-5.3e-06,0.17,0.037,-0.00012
0.08,0.4,0.00059,-0.0018,1.9,-0.022,0.01,0.029,-0.0079,-0.5,0.035,-3.4e-05,0.31,0.037,-0.00037
0.078,0.55,-0.0018,-0.058,1.2,-0.024,0.018,0.077,-0.008,-0.47,0.038,-6.2e-05,0.41,0.034,-0.00015
0.071,0.64,-0.0038,0.0039,0.6,-0.015,0.026,0.14,-0.0083,-0.42,0.041,-5.5e-05,0.45,0.028,0.00031
0.07,0.67,-0.0047,-0.036,0.069,-0.0016,0.033,0.2,-0.0087,-0.38,0.044,-1e-05,0.45,0.027,0.00054
0.065,0.66,-0.0042,0.064,-0.41,0.011,0.039,0.27,-0.0092,-0.33,0.047,4.9e-05,0.41,0.024,0.00065
0.07,0.6,-0.0027,0.1,-0.77,0.018,0.046,0.33,-0.0095,-0.3,0.049,0.00011,0.35,0.027,0.00053
0.078,0.51,-0.00085,0.03,-1,0.018,0.054,0.39,-0.0097,-0.26,0.052,0.00016,0.26,0.033,0.0004
0.08,0.4,0.00077,0.0063,-1.1,0.014,0.062,0.43,-0.0097,-0.24,0.056,0.0002,0.17,0.035,0.00043
0.079,0.29,0.0018,-0.015,-1.1,0.0074,0.07,0.47,-0.0096,-0.23,0.059,0.00024,0.086,0.036,0.00042
0.076,0.18,0.0023,0.044,-0.93,0.0022,0.077,0.49,-0.0093,-0.22,0.063,0.00028,0.016,0.036,0.00029
0.078,0.095,0.0024,0.016,-0.79,-0.00021,0.085,0.51,-0.0091,-0.23,0.067,0.0003,-0.034,0.039,9.9e-05
0.078,0.023,0.0023,-0.024,-0.61,-0.00015,0.093,0.51,-0.0089,-0.23,0.071,0.0003,-0.066,0.04,-0.0001
0.074,-0.03,0.0024,-0.028,-0.35,0.0013,0.1,0.51,-0.0086,-0.24,0.075,0.00028,-0.078,0.039,-0.0003
0.069,-0.057,0.0026,-0.086,-0.31,0.0026,0.11,0.51,-0.0084,-0.25,0.078,0.00024,-0.07,0.038,-0.00047
0.059,-0.081,0.0029,-0.082,-0.18,0.003,0.11,0.5,-0.0081,-0.25,0.082,0.00018,-0.058,0.033,-0.00054
0.049,-0.094,0.0032,-0.16,-0.04,0.0026,0.12,0.49,-0.0078,-0.26,0.085,0.00013,-0.038,0.029,-0.00052
0.033,-0.095,0.0034,-0.14,-0.038,0.0013,0.12,0.48,-0.0075,-0.26,0.088,8.2e-05,-0.014,0.021,-0.00045
0.019,-0.098,0.0034,-0.16,0.061,3.1e-05,0.13,0.47,-0.0071,-0.26,0.089,4.4e-05,0.0076,0.014,-0.00031
0.0043,-0.093,0.0034,-0.094,0.047,-0.0013,0.13,0.46,-0.0068,-0.26,0.09,1.8e-05,0.03,0.0075,-0.00019
-0.0047,-0.09,0.0032,-0.024,0.046,-0.0021,0.13,0.45,-0.0065,-0.25,0.091,4.5e-06,0.047,0.0046,-9.8e-05
-0.0071,-0.089,0.003,0.0011,-0.073,-0.0025,0.13,0.44,-0.0062,-0.25,0.092,-3.1e-06,0.059,0.006,-6.3e-05
-0.0075,-0.098,0.0027,0.027,-0.13,-0.0023,0.13,0.44,-0.0059,-0.24,0.092,-8.9e-06,0.059,0.0086,-5.2e-05
-0.0058,-0.11,0.0025,0.046,-0.16,-0.0018,0.13,0.42,-0.0056,-0.24,0.093,-1.4e-05,0.054,0.013,-4.1e-05
-0.0026,-0.13,0.0023,0.057,-0.15,-0.0014,0.12,0.41,-0.0054,-0.23,0.095,-1.7e-05,0.044,0.017,-1.9e-05
0.0014,-0.14,0.0022,-0.0092,-0.25,-0.0011,0.12,0.4,-0.0052,-0.23,0.097,-1.7e-05,0.034,0.022,9.7e-06
-0.001,-0.17,0.0021,0.0075,-0.25,-0.00082,0.12,0.38,-0.0049,-0.23,0.099,-1.4e-05,0.017,0.023,4.6e-05
-0.0019,-0.19,0.0021,-0.11,-0.087,-0.00043,0.12,0.37,-0.0047,-0.23,0.1,-8.5e-06,0.00076,0.024,6.5e-05
-0.014,-0.2,0.002,-0.12,0.023,-0.00027,0.12,0.35,-0.0045,-0.23,0.1,-3e-06,-0.0052,0.018,3.9e-05
-0.026,-0.19,0.002,-0.078,0.023,-0.00034,0.12,0.33,-0.0043,-0.23,0.11,-9.9e-07,-0.0036,0.011,1.8e-06
-0.034,-0.19,0.002,-0.098,0.11,-0.00039,0.12,0.31,-0.0041,-0.23,0.11,-1.7e-06,-0.0017,0.007,-1.2e-05
-0.043,-0.18,0.0019,-0.028,0.07,-0.00064,0.12,0.29,-0.0039,-0.23,0.11,-3e-06,0.0047,0.0019,-1.3e-05
-0.045,-0.18,0.0018,0.06,0.016,-0.00084,0.11,0.27,-0.0037,-0.23,0.11,-4e-06,0.0084,0.0009,-6.9e-06
-0.04,-0.18,0.0017,-0.05,0.037,-0.00079,0.11,0.25,-0.0036,-0.22,0.11,-4.6e-06,0.0078,0.0049,-5.8e-06
-0.045,-0.17,0.0017,-0.022,-0.057,-0.00086,0.1,0.24,-0.0034,-0.22,0.11,-5e-06,0.0073,0.0026,-2.3e-06
-0.047,-0.18,0.0016,-0.012,0.046,-0.00071,0.098,0.22,-0.0032,-0.22,0.11,-5.1e-06,0.00082,0.0016,1e-06
-0.048,-0.17,0.0015,-0.096,0.068,-0.00064,0.093,0.2,-0.0031,-0.22,0.11,-4.9e-06,-2e-07,0.0017,2.1e-06
-0.057,-0.17,0.0015,-0.059,0.086,-0.00067,0.088,0.18,-0.0029,-0.22,0.11,-4.7e-06,0.00024,-0.0036,1.7e-06
-0.062,-0.16,0.0014,-0.11,0.19,-0.00064,0.082,0.17,-0.0028,-0.22,0.11,-4.5e-06,0.0016,-0.0065,2.9e-06
-0.072,-0.14,0.0013,-0.069,0.068,-0.00086,0.075,0.15,-0.0026,-0.22,0.11,-4e-06,0.0086,-0.012,9.6e-06
-0.077,-0.14,0.0012,-0.034,0.15,-0.00084,0.068,0.14,-0.0025,-0.22,0.1,-2.9e-06,0.0082,-0.016,7.9e-06
-0.079,-0.12,0.0011,-0.037,0.15,-0.00088,0.06,0.13,-0.0024,-0.22,0.1,-2.3e-06,0.012,-0.017,6.6e-06
-0.082,-0.11,0.001,-0.084,0.22,-0.00086,0.052,0.11,-0.0023,-0.22,0.1,-1.7e-06,0.016,-0.019,4.6e-06
-0.088,-0.092,0.00095,-0.087,0.19,-0.00098,0.043,0.1,-0.0022,-0.22,0.099,-9.8e-07,0.023,-0.023,1.2e-05
-0.095,-0.076,0.00085,0.073,0.071,-0.0011,0.034,0.095,-0.0021,-0.21,0.097,4e-07,0.028,-0.027,1.4e-05
-0.087,-0.072,0.00075,0.1,0.068,-0.00084,0.025,0.087,-0.002,-0.21,0.094,2.4e-07,0.026,-0.022,-2.4e-05
-0.076,-0.067,0.00068,0.13,0.0043,-0.00063,0.017,0.08,-0.002,-0.21,0.092,-3.7e-06,0.023,-0.016,-4.9e-05
-0.063,-0.068,0.00063,0.19,-0.052,-0.00041,0.0097,0.074,-0.0019,-0.21,0.091,-8.9e-06,0.016,-0.0089,-5.3e-05
-0.045,-0.074,0.0006,0.18,-0.048,-0.00018,0.0043,0.067,-0.0018,-0.21,0.091,-1.4e-05,0.0061,0.0014,-3.8e-05
-0.028,-0.078,0.00059,0.057,0.066,2.5e-05,0.00071,0.059,-0.0018,-0.21,0.091,-1.6e-05,-0.0028,0.011,-5.3e-06
-0.023,-0.072,0.0006,0.036,0.068,0.00011,-0.0018,0.052,-0.0017,-0.21,0.092,-1.5e-05,-0.0037,0.012,9.4e-06
-0.02,-0.066,0.00061,0.026,0.063,0.00016,-0.0039,0.045,-0.0016,-0.21,0.094,-1.4e-05,-0.0033,0.012,7.1e-06
-0.018,-0.061,0.00063,-0.0051,0.0012,0.00013,-0.0058,0.038,-0.0016,-0.21,0.095,-1.4e-05,-0.0025,0.01,4e-06
-0.019,-0.06,0.00064,-0.022,0.039,0.00012,-0.0076,0.032,-0.0015,-0.21,0.095,-1.3e-05,-0.005,0.0063,4.3e-06
-0.021,-0.056,0.00065,-0.024,0.097,5.6e-05,-0.0096,0.026,-0.0015,-0.21,0.096,-1.3e-05,-0.0049,0.0021,2.9e-06
-0.023,-0.048,0.00065,-0.14,0.13,-5.5e-05,-0.012,0.021,-0.0014,-0.21,0.096,-1.3e-05,-0.0011,-0.0019,3.4e-06
-0.035,-0.036,0.00063,-0.042,0.036,-0.00031,-0.015,0.017,-0.0013,-0.21,0.095,-1.2e-05,0.0048,-0.012,1e-05
-0.039,-0.032,0.00059,-0.036,-0.018,-0.00041,-0.018,0.014,-0.0013,-0.21,0.094,-1.1e-05,0.0051,-0.016,1.2e-05
-0.048,-0.0029,0.00055,-0.26,1,-0.00045,-0.023,0.011,-0.0012,-0.21,0.092,-1e-05,0.023,-0.021,8.4e-06
-0.07,0.088,0.00042,-0.18,0.8,-0.0024,-0.028,0.015,-0.0012,-0.2,0.089,1.6e-07,0.084,-0.036,0.00021
-0.083,0.16,9.3e-05,-0.07,0.57,-0.0038,-0.036,0.028,-0.0011,-0.19,0.085,2.8e-05,0.13,-0.046,0.00032
-0.087,0.2,-0.00028,-0.023,0.37,-0.0033,-0.045,0.046,-0.0011,-0.18,0.08,5.5e-05,0.15,-0.049,0.00017
-0.086,0.23,-0.00053,-0.014,0.16,-0.0016,-0.053,0.067,-0.0012,-0.16,0.075,5.9e-05,0.16,-0.048,-9.9e-05
-0.085,0.24,-0.00059,0.046,-0.062,0.00042,-0.062,0.091,-0.0012,-0.14,0.07,3.7e-05,0.16,-0.048,-0.00034
-0.078,0.22,-0.00046,0.1,-0.23,0.0021,-0.07,0.11,-0.0013,-0.13,0.066,-6.4e-06,0.14,-0.043,-0.00051
-0.067,0.2,-0.0002,0.11,-0.32,0.0028,-0.077,0.13,-0.0013,-0.12,0.062,-6.2e-05,0.11,-0.036,-0.00057
-0.056,0.16,6.4e-05,0.15,-0.39,0.0025,-0.084,0.15,-0.0013,-0.11,0.059,-0.00012,0.081,-0.029,-0.00048
