0.048	-0.011	0.022	0.089	-0.48	-0.031	-0.15	1.8	-0.014	0.12	-0.046	-0.00096
0.058	-0.063	0.019	0.1	-0.51	-0.03	-0.15	1.8	-0.012	0.14	-0.047	-0.00088
0.068	-0.12	0.016	0.13	-0.63	-0.026	-0.14	1.7	-0.0099	0.15	-0.047	-0.00082
0.08	-0.18	0.014	0.12	-0.75	-0.023	-0.13	1.7	-0.0084	0.17	-0.046	-0.00076
0.091	-0.26	0.012	0.045	-0.68	-0.021	-0.13	1.7	-0.0071	0.19	-0.045	-0.00071
0.095	-0.33	0.0097	-0.065	-0.75	-0.02	-0.12	1.7	-0.006	0.2	-0.044	-0.00065
0.089	-0.4	0.0078	-0.061	-0.56	-0.019	-0.11	1.6	-0.0052	0.22	-0.042	-0.00059
0.091	-0.15	0.0057	0.082	2.7	-0.025	-0.098	1.6	-0.0045	0.24	-0.041	-0.00053
0.098	0.091	0.0029	0.017	2	-0.03	-0.088	1.6	-0.004	0.28	-0.039	-0.0005
0.098	0.26	0.0004	-0.031	1.2	-0.017	-0.078	1.6	-0.0039	0.34	-0.038	-0.00048
0.094	0.34	-9.9e-5	0.016	0.43	0.0095	-0.069	1.7	-0.004	0.4	-0.036	-0.00044
0.094	0.35	0.0022	-0.083	-0.43	0.036	-0.059	1.7	-0.0038	0.47	-0.034	-0.00037
0.086	0.27	0.0067	-0.055	-1.1	0.051	-0.05	1.7	-0.0034	0.53	-0.033	-0.00028
0.081	0.13	0.012	-0.063	-1.7	0.047	-0.042	1.7	-0.0024	0.58	-0.032	-0.00019
0.075	-0.065	0.016	-0.13	-2.2	0.029	-0.034	1.7	-0.0011	0.62	-0.031	-0.00011
0.063	-0.29	0.017	-0.0052	-2.2	0.0026	-0.027	1.7	0.00061	0.64	-0.031	-6.6e-05
0.063	-0.51	0.016	0.17	-2.2	-0.024	-0.021	1.7	0.0023	0.65	-0.031	-4.2e-05
0.079	-0.73	0.013	0.057	-2	-0.045	-0.014	1.6	0.0038	0.64	-0.03	-1.9e-05
0.084	-0.9	0.0077	-0.0047	-1.5	-0.054	-0.0056	1.5	0.0048	0.62	-0.028	1.4e-05
0.082	-1	0.0023	0.033	-0.92	-0.052	0.0027	1.5	0.0053	0.59	-0.026	4e-05
0.085	-1.1	-0.0024	0.04	-0.32	-0.042	0.011	1.3	0.0053	0.56	-0.024	4.9e-05
0.087	-1.1	-0.0059	0.059	0.063	-0.028	0.02	1.2	0.0049	0.52	-0.021	3.9e-05
0.091	-1.1	-0.0081	0.09	0.43	-0.017	0.029	1.1	0.0042	0.49	-0.018	7.4e-06
0.098	-1	-0.0094	0.12	0.63	-0.0094	0.038	1	0.0033	0.47	-0.014	-4.1e-05
0.11	-0.95	-0.01	-0.029	0.72	-0.0054	0.048	0.92	0.0023	0.46	-0.0096	-0.0001
0.1	-0.87	-0.011	-0.0061	0.66	-0.0031	0.059	0.83	0.0013	0.45	-0.005	-0.00016
0.099	-0.81	-0.011	-0.058	0.65	-0.0012	0.069	0.75	0.00022	0.45	-0.0005	-0.00022
0.091	-0.74	-0.011	-0.07	0.62	0.00098	0.078	0.67	-0.0009	0.45	0.0038	-0.00025
0.083	-0.69	-0.011	-0.11	0.5	0.0037	0.087	0.6	-0.0019	0.45	0.0078	-0.00026
0.071	-0.64	-0.01	-0.05	0.41	0.0061	0.095	0.53	-0.003	0.46	0.011	-0.00024
0.065	-0.61	-0.0094	-0.12	0.3	0.0077	0.1	0.47	-0.0039	0.46	0.014	-0.00021
0.053	-0.58	-0.0085	-0.15	0.24	0.0083	0.11	0.41	-0.0048	0.47	0.017	-0.00017
0.038	-0.56	-0.0077	-0.12	0.12	0.008	0.11	0.35	-0.0056	0.47	0.019	-0.00014
0.026	-0.55	-0.007	-0.031	0.1	0.0068	0.12	0.3	-0.0064	0.48	0.02	-0.0001
0.022	-0.54	-0.0064	-0.0053	0.074	0.0053	0.12	0.24	-0.007	0.47	0.022	-7.7e-05
0.021	-0.53	-0.0059	0.023	0.14	0.0038	0.12	0.19	-0.0077	0.47	0.023	-5.7e-05
0.022	-0.52	-0.0056	0.065	0.15	0.003	0.12	0.14	-0.0082	0.47	0.025	-4.2e-05
0.027	-0.5	-0.0053	0.021	0.21	0.0026	0.12	0.087	-0.0088	0.46	0.027	-2.8e-05
0.028	-0.47	-0.005	-0.045	0.29	0.0027	0.13	0.039	-0.0093	0.45	0.03	-1.7e-05
0.023	-0.44	-0.0048	0.0077	0.37	0.0031	0.13	-0.007	-0.0098	0.44	0.033	-1.3e-05
0.022	-0.4	-0.0044	-0.05	0.35	0.0039	0.13	-0.049	-0.01	0.44	0.036	-1.6e-05
0.016	-0.36	-0.004	-0.058	0.35	0.0044	0.13	-0.087	-0.011	0.43	0.039	-2.2e-05
0.0096	-0.33	-0.0035	-0.012	0.36	0.0047	0.14	-0.12	-0.011	0.42	0.041	-3.1e-05
0.0074	-0.29	-0.0031	0.035	0.33	0.0049	0.14	-0.15	-0.011	0.42	0.044	-3.9e-05
0.0095	-0.25	-0.0026	-0.033	0.33	0.005	0.14	-0.18	-0.012	0.41	0.046	-4.5e-05
0.0052	-0.22	-0.0021	-0.0018	0.33	0.005	0.14	-0.2	-0.012	0.41	0.049	-4.8e-05
0.0039	-0.19	-0.0016	-0.037	0.38	0.0049	0.14	-0.22	-0.012	0.41	0.052	-5e-05
-0.0006	-0.15	-0.0011	0.062	0.32	0.0049	0.14	-0.24	-0.012	0.4	0.054	-5e-05
0.0041	-0.12	-0.0006	0.089	0.28	0.0048	0.14	-0.25	-0.012	0.4	0.057	-4.9e-05
0.011	-0.089	-0.0001	0.045	0.21	0.0045	0.14	-0.26	-0.012	0.4	0.06	-4.7e-05
0.014	-0.068	0.0003	0.055	0.2	0.0041	0.14	-0.27	-0.012	0.4	0.064	-4.4e-05
0.017	-0.048	0.00069	0.008	0.17	0.0037	0.14	-0.28	-0.012	0.4	0.067	-3.9e-05
0.016	-0.031	0.001	0.01	0.21	0.0033	0.14	-0.28	-0.012	0.4	0.071	-3.4e-05
0.015	-0.0096	0.0014	-0.027	0.22	0.003	0.15	-0.28	-0.012	0.4	0.075	-3e-05
0.011	0.012	0.0017	-0.15	0.26	0.0028	0.15	-0.28	-0.012	0.39	0.079	-2.7e-05
-0.0046	0.038	0.0019	-0.31	0.22	0.0025	0.15	-0.28	-0.012	0.39	0.082	-2.5e-05
-0.034	0.058	0.0022	-0.11	0.2	0.0022	0.15	-0.28	-0.012	0.39	0.083	-2.4e-05
-0.045	0.077	0.0024	-0.076	0.24	0.0019	0.14	-0.27	-0.011	0.39	0.083	-2.2e-05
-0.052	0.099	0.0025	-0.12	0.14	0.0017	0.14	-0.26	-0.011	0.4	0.083	-1.8e-05
-0.063	0.11	0.0027	-0.055	0.095	0.0014	0.13	-0.25	-0.011	0.4	0.083	-1.5e-05
-0.067	0.12	0.0028	0.012	0.015	0.0011	0.12	-0.24	-0.011	0.4	0.082	-1.2e-05
-0.066	0.12	0.0029	-0.16	0.1	0.00081	0.12	-0.23	-0.01	0.4	0.081	-1.1e-05
-0.08	0.13	0.003	-0.078	0.061	0.00051	0.11	-0.21	-0.0099	0.4	0.08	-1.1e-05
-0.087	0.13	0.003	-0.07	-0.044	0.00018	0.1	-0.2	-0.0096	0.4	0.078	-1.1e-05
-0.092	0.13	0.003	-0.25	-0.085	-0.0002	0.093	-0.19	-0.0093	0.4	0.076	-1.1e-05
-0.11	0.12	0.003	-0.087	-0.019	-0.0006	0.083	-0.17	-0.009	0.4	0.073	-1.2e-05
-0.12	0.12	0.0029	-0.2	-0.029	-0.0008	0.071	-0.16	-0.0087	0.4	0.07	-1.4e-05
-0.14	0.12	0.0028	-0.091	0.026	-0.0009	0.058	-0.15	-0.0084	0.4	0.066	-1.4e-05
-0.14	0.12	0.0027	-0.0095	-0.0088	-0.0009	0.044	-0.14	-0.0082	0.4	0.061	-1.4e-05
-0.14	0.12	0.0026	0.057	0.046	-0.0007	0.03	-0.13	-0.0079	0.4	0.056	-1.1e-05
-0.14	0.12	0.0026	0.03	0.037	-0.0004	0.016	-0.12	-0.0076	0.4	0.051	-7.2e-06
-0.13	0.13	0.0025	0.079	-0.034	-0.0003	0.0023	-0.1	-0.0074	0.4	0.047	-3.3e-06
-0.12	0.12	0.0025	0.13	0.041	-0.0002	-0.01	-0.09	-0.0071	0.4	0.044	-4.7e-07
-0.11	0.13	0.0025	0.26	-0.087	-0.0002	-0.022	-0.078	-0.0069	0.41	0.041	7.5e-08
-0.083	0.12	0.0025	0.21	-0.11	-0.0003	-0.031	-0.066	-0.0066	0.41	0.039	-5.5e-07
-0.062	0.11	0.0024	0.2	-0.18	-0.0005	-0.039	-0.054	-0.0064	0.41	0.038	-2.3e-06
-0.044	0.089	0.0023	0.31	-0.17	-0.0008	-0.044	-0.045	-0.0062	0.41	0.038	-2.8e-06
-0.015	0.073	0.0022	0.061	-0.0098	-0.0011	-0.047	-0.037	-0.0059	0.41	0.04	-1.3e-06
-0.01	0.073	0.0021	0.0062	0.02	-0.0009	-0.048	-0.029	-0.0057	0.41	0.042	6.6e-07
-0.011	0.075	0.0021	0.015	0.1	-0.0006	-0.049	-0.022	-0.0055	0.41	0.043	4.6e-07
-0.0097	0.084	0.002	-0.004	0.15	-0.0003	-0.05	-0.014	-0.0053	0.41	0.045	-7.9e-07
-0.01	0.097	0.002	-0.18	0.12	1.1e-05	-0.051	-0.0049	-0.0051	0.41	0.046	-1.7e-06
-0.027	0.11	0.002	-0.009	0.12	0.00028	-0.053	0.0053	-0.0049	0.41	0.045	-8.5e-08
-0.027	0.12	0.002	0.02	0.039	0.00053	-0.056	0.016	-0.0047	0.42	0.044	4.7e-06
-0.025	0.12	0.0021	0.063	-0.0073	0.0007	-0.058	0.028	-0.0045	0.42	0.043	8e-06
-0.018	0.11	0.0022	0.13	-0.035	0.00074	-0.06	0.04	-0.0043	0.43	0.041	7.8e-06
-0.006	0.11	0.0023	0.06	-0.013	0.00064	-0.062	0.051	-0.0041	0.43	0.04	3.9e-06
-0.0001	0.1	0.0023	0.045	-0.1	0.00036	-0.062	0.061	-0.0038	0.44	0.039	-2e-06
0.0042	0.091	0.0023	0.14	-0.14	-9.1e-6	-0.062	0.071	-0.0036	0.44	0.039	-6.8e-06
0.017	0.075	0.0023	0.081	-0.14	-0.0006	-0.061	0.079	-0.0034	0.45	0.039	-1e-05
0.024	0.061	0.0022	0.03	-0.2	-0.0011	-0.058	0.086	-0.0031	0.45	0.039	-1.2e-05
0.027	0.041	0.0021	-0.01	-0.22	-0.0017	-0.056	0.091	-0.0029	0.45	0.04	-1.2e-05
0.026	0.019	0.0019	0.082	-0.19	-0.0022	-0.053	0.094	-0.0027	0.45	0.04	-1.1e-05
0.033	0.0014	0.0016	0.11	-0.21	-0.0025	-0.05	0.095	-0.0026	0.45	0.041	-9.5e-06
0.042	-0.018	0.0014	0.15	-0.14	-0.0027	-0.047	0.094	-0.0024	0.45	0.042	-7.3e-06
0.055	-0.03	0.0011	0.061	-0.025	-0.0026	-0.042	0.092	-0.0023	0.44	0.044	-4.7e-06
0.06	-0.031	0.00085	-0.098	-0.019	-0.0022	-0.036	0.089	-0.0022	0.44	0.046	-3.2e-06
