-0.021,-0.0079,0.095,-0.13,0.047,-0.0081,0.016,-0.023,-0.03,0.0033,-0.0019,-4.9e-06,-0.0015,-0.017,1.2e-05
-0.032,-0.0028,0.093,-0.12,0.095,-0.026,0.013,-0.024,-0.021,0.0032,-0.0039,-3.5e-06,0.0011,-0.023,1.5e-05
-0.043,0.0068,0.09,-0.14,0.14,-0.045,0.0091,-0.023,-0.012,0.0038,-0.0064,-1.8e-06,0.0083,-0.028,2e-05
-0.055,0.021,0.085,-0.072,0.17,-0.055,0.0042,-0.022,-0.0028,0.0051,-0.0095,6.1e-07,0.018,-0.033,2.9e-05
-0.06,0.036,0.079,-0.016,0.093,-0.058,-0.0015,-0.019,0.0054,0.0075,-0.013,3.3e-06,0.028,-0.034,2.3e-05
-0.059,0.044,0.073,0.0097,0.081,-0.067,-0.0075,-0.015,0.013,0.01,-0.016,4.5e-06,0.03,-0.032,-5e-06
-0.057,0.05,0.066,0.0036,0.11,-0.079,-0.013,-0.01,0.02,0.014,-0.019,2.1e-06,0.032,-0.029,-3.9e-05
-0.055,0.059,0.058,0.058,0.043,-0.08,-0.019,-0.0049,0.026,0.017,-0.022,-2.9e-06,0.037,-0.026,-5.6e-05
-0.048,0.061,0.05,0.058,-0.006,-0.083,-0.024,0.0012,0.032,0.021,-0.024,-8.8e-06,0.035,-0.021,-6.4e-05
-0.042,0.059,0.042,0.079,-0.04,-0.085,-0.029,0.0072,0.036,0.024,-0.026,-1.5e-05,0.03,-0.017,-6.6e-05
-0.034,0.053,0.033,0.14,-0.068,-0.085,-0.032,0.013,0.04,0.027,-0.028,-2.1e-05,0.023,-0.012,-5.3e-05
-0.02,0.045,0.025,0.16,-0.12,-0.084,-0.035,0.018,0.043,0.029,-0.028,-2.6e-05,0.016,-0.0022,-2.8e-05
-0.005,0.031,0.016,0.092,-0.099,-0.085,-0.036,0.021,0.045,0.03,-0.028,-2.7e-05,0.0054,0.0062,1.6e-06
0.0033,0.021,0.0078,0.082,-0.12,-0.082,-0.036,0.024,0.046,0.03,-0.027,-2.6e-05,-0.0015,0.0092,1.8e-05
0.011,0.0095,-0.0002,-0.019,-0.11,-0.078,-0.036,0.026,0.047,0.029,-0.026,-2.3e-05,-0.0094,0.012,3.1e-05
0.0082,-6.8e-05,-0.0078,0.021,-0.11,-0.074,-0.035,0.026,0.046,0.028,-0.025,-2.1e-05,-0.015,0.0073,1.9e-05
0.0098,-0.01,-0.015,-0.05,-0.013,-0.067,-0.034,0.026,0.045,0.026,-0.025,-1.9e-05,-0.02,0.0069,1.2e-05
