Pn(m),Pe(m),Pd(m),Vn(m/s),Ve(m/s),Vd(m/s),phi(rad),theta(rad)psi(rad),,p(rad/s),q(rad/s),r(rad/s)
0,0,0,0,0,0,0,0,0,0,0,0
0.00096322496365,0.000924956773527,0.014612495523873,0.019422145552194,0.01826610873807,0.178657620612942,-0.000367208949235,0.000287871764284,-5.13E-08,-0.011047543640889,0.008854481291844,2.40E-07
0.003913482566017,0.003655416337037,0.038309989856191,0.039657563410912,0.036541108218613,0.271408404604119,-0.0023123084536,0.001916806626129,-2.19E-06,-0.024309329349203,0.021672222795201,2.06E-06
0.008824736598792,0.008186374256942,0.069018344646336,0.057750428062886,0.053340275502803,0.336063507463259,-0.005833414730591,0.004980239450023,-1.41E-05,-0.042520487941104,0.037291424183491,9.84E-06
0.015348972262921,0.014174315455091,0.104796878143382,0.0723985454943,0.06565984705744,0.375394495321657,-0.010698458393104,0.009279636847461,-4.76E-05,-0.053785748789309,0.048118733839933,3.77E-05
0.023163971162058,0.021151858563264,0.143357035935332,0.082847441277049,0.073006638972356,0.392654597315991,-0.016405207882,0.014508088145125,-0.000112715748809,-0.059756494686153,0.05597525519249,8.55E-05
0.031689826587703,0.028584242088415,0.182654283116557,0.086452358689518,0.07462862549384,0.389897693887778,-0.022441212816847,0.020287188164843,-0.000212508847393,-0.059743883229265,0.058526149545287,0.000168290307858
0.040241547563519,0.035831419861352,0.220767046340169,0.083672785890987,0.068879770219121,0.369321015628337,-0.02826277696092,0.026110156762099,-0.000338609031082,-0.05526653492187,0.057093588456047,0.000272237526712
0.048226985813306,0.042127172825067,0.256000108620139,0.075012031049975,0.056181947649593,0.33359233287764,-0.033207211845175,0.031518922654739,-0.000472786877099,-0.043047291813515,0.050711269563061,0.000376038770182
0.055073420894833,0.046929554404082,0.287082835423819,0.061247517685981,0.039351771275711,0.286076907213395,-0.036715133060212,0.036087285054951,-0.000589919763775,-0.026478097827158,0.039999805362099,0.000475358265642
0.060363719301817,0.049918519492707,0.312950787115437,0.044095700588551,0.020143378796147,0.229996395412219,-0.038499516511517,0.039488957706869,-0.000667288774305,-0.008693921050314,0.02752301106104,0.000544620154863
0.063851042360057,0.050927911919964,0.332786850943554,0.025739408695063,6.73E-05,0.166081701316179,-0.038406440235404,0.041488894529025,-0.000689728833852,0.009312290942339,0.011390322634406,0.000563966321486
0.065504603123042,0.04998727138892,0.345778171792241,0.007246992096832,-0.018288555908937,0.092625659335163,-0.036756898562038,0.041938851687785,-0.000652701408836,0.023324228574715,-0.002370504595449,0.000523642891036
0.065314486106469,0.047399808507172,0.351346239687814,-0.010882308282191,-0.032816384950004,0.019006866228613,-0.033875619382476,0.0412043233954,-0.000578075961241,0.033952168976118,-0.013434911831053,0.000451090454737
0.06340318374537,0.043609067707337,0.349687868677402,-0.026775965450381,-0.04181088971765,-0.051462164775168,-0.030112793400038,0.039390956349769,-0.000478818128168,0.040631569047982,-0.023395278336254,0.000353696151844
0.060055832548815,0.039238397178394,0.341228995128346,-0.039767129137279,-0.0447947788965,-0.116357709249986,-0.025944626337752,0.036677673381626,-0.000370175227256,0.042189926040879,-0.03122945927216,0.00024670693583
0.05551018528342,0.034767927732978,0.326674072760373,-0.050934278202853,-0.044240596226596,-0.17326066485003,-0.021800263847163,0.03325566000447,-0.000264527976495,0.040486580968634,-0.037531120363309,0.000146418157253
0.049960152812683,0.030424474787106,0.306804097026786,-0.05937294307556,-0.042643023958043,-0.223242455389635,-0.017900767157701,0.029256059257096,-0.000169075377867,0.037595448700312,-0.042463717465044,6.96E-05
0.043801019169225,0.026363534919345,0.282266878830471,-0.062871872800866,-0.037346137307147,-0.266077562219419,-0.014318715395908,0.02489081691009,-8.95E-05,0.033437921010486,-0.044548225358995,3.47E-05
0.03755173900378,0.023117474763108,0.253910800428128,-0.0614062050316,-0.027204864695645,-0.299332985010244,-0.011380954696235,0.02048487926476,-2.91E-05,0.025008400743068,-0.043281779519044,5.56E-05
0.031657484777465,0.020943070450777,0.222707514069172,-0.055813713602669,-0.016434555516174,-0.323379586322214,-0.009354134218664,0.016338733737773,1.34E-05,0.015693195990297,-0.039371384215151,0.000129132259637
0.026515564680227,0.019812618801657,0.189588563062799,-0.046426942380606,-0.006203732272634,-0.336850983579366,-0.008215932074552,0.012701589721316,4.17E-05,0.007226702439646,-0.033108100276276,0.000227156487677
