%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z,field.valid
1565825439508991413,185508,1565825439508991413,,0.574099348262,-0.0218900488538,0.400388097924,0.0180180200268,0.708001019536,0.0189627243439,0.705726804349,-0.00071734840742,0.0391357683263,0.0199581119091,-0.00490922072565,-0.0169161663914,0.0278068519721,-2.86013007022,1.3535752942,-0.655916528426,0.103877822924,0.382990290223,0.399351834741,1
1565825439518963282,185509,1565825439518963282,,0.574373634803,-0.0214717237049,0.400479829447,0.0178538924302,0.707943241001,0.0190788202969,0.705785806504,-0.00683945733128,0.0363190107439,0.0231499111738,-0.00813888817961,-0.010474771698,0.000850555635475,-1.94520148036,1.08952076588,0.842735322445,0.133882453817,0.330922710347,0.259008127474,1
1565825439528971116,185510,1565825439528971116,,0.57477950686,-0.0211154895354,0.400614294505,0.0177997906551,0.707868291192,0.0190577266355,0.705862913626,-0.00938335365308,0.0392508752152,0.0317066378713,-0.0267680035221,-0.0169735873891,-0.0110010666832,-1.53483957046,1.14550052152,1.06551596191,0.114224069857,0.242235180624,0.335819807974,1
1565825439538956314,185511,1565825439538956314,,0.575230887895,-0.020721387068,0.40070154768,0.0176945755569,0.707866838478,0.0190533143579,0.705867134942,-0.0138522682181,0.0393743425996,0.0421167462961,-0.00926165605355,-0.0191832095778,-0.0169531242783,-0.393153056083,0.618849427642,1.4747043183,-0.106024172525,0.00947014319485,0.467231619092,1
1565825439548969398,185512,1565825439548969398,,0.575804675629,-0.0202674841241,0.400915286329,0.0174876145958,0.707716007094,0.0191519332872,0.706020849615,-0.0153631735392,0.0392428353503,0.0508496762036,-0.0225120742891,-0.0283627074983,-0.0166711350761,0.407505166075,0.220412737182,2.4181257174,-0.0450463735658,0.0764171832306,0.374098189317,1
1565825439558972646,185513,1565825439558972646,,0.576436136722,-0.0199416172923,0.401074960657,0.0175055135265,0.707700064385,0.0189625231088,0.706041499194,-0.0142037036983,0.0402086391314,0.0596313221365,-0.0110775661244,-0.0197583855777,-0.0189869791884,0.608009246554,0.448470278297,2.0843588201,-0.0664921979788,0.0376890556818,0.312935459994,1
1565825439568965716,185514,1565825439568965716,,0.577138112299,-0.0194860697554,0.401242905225,0.0171567892759,0.707682451454,0.01899270072,0.706066901791,-0.0150749788794,0.0394555093718,0.0656380167406,-0.00357153600722,-0.00913019697856,-0.0266184126871,0.312062411148,0.443854324118,2.59611051269,-0.0978804403015,0.0614517940565,0.37714847515,1
1565825439578965751,185515,1565825439578965751,,0.57788563415,-0.0191633697206,0.401425866007,0.0171783857728,0.707653428589,0.0188046142335,0.706100498903,-0.0137354335229,0.0435439142083,0.0712929350273,-0.0258414679407,-0.0031189664391,-0.0370445870766,0.766923827023,0.603144871005,2.87049724485,0.0387571805797,0.0226419867375,0.272759967137,1
1565825439588965384,185516,1565825439588965384,,0.578690894618,-0.018728468011,0.401543104993,0.0172226046329,0.707617386329,0.0187197535347,0.706137796243,-0.0145783016899,0.0389876201523,0.0773992080087,0.0163870923512,-0.00901565249454,-0.0237000526396,1.25466786444,0.510600940436,2.52461577582,-0.0508383283011,0.0341873805915,0.188682676111,1
1565825439598985241,185517,1565825439598985241,,0.579456068694,-0.0182913041781,0.401633338238,0.0169308841965,0.70770608866,0.0186080587298,0.706058905039,-0.0127797437139,0.0409417018001,0.0795606197317,0.00556787283642,-0.00730149555909,-0.0286902897745,1.00129287367,0.723255021676,2.46146816596,0.0456708199478,0.215393613445,0.368386458784,1
1565825439608984688,185518,1565825439608984688,,0.580210962998,-0.0180116134422,0.401716975712,0.016946986595,0.707893070896,0.0182152848014,0.705881295419,-0.0063772409272,0.039033748561,0.0773409359772,0.00868986732808,0.0345272395889,-0.0534497014221,1.76404308126,0.836295782467,1.5986894025,0.0872767261728,-0.144822593712,0.41586697584,1
1565825439618952522,185519,1565825439618952522,,0.580975395307,-0.0175707385921,0.401728906952,0.0168500030901,0.708003581874,0.0181022716456,0.705775681935,-0.00471166872269,0.0362716217422,0.0772258207947,0.0398024836779,0.0441896295032,-0.0457740704997,1.20696442832,0.766947502084,1.59213330933,-0.00881797081713,-0.051749226434,0.407231788472,1
1565825439628979452,185520,1565825439628979452,,0.58170549235,-0.017180188777,0.401736120639,0.0168986818754,0.708199651813,0.0179347383096,0.705582052553,-0.00149592270829,0.0394734818052,0.072578541974,0.0102121823139,0.0357091416937,-0.033021733963,0.198357630956,1.21886278574,1.14199542824,0.25696613128,0.259099652595,0.508426995416,1
1565825439638984052,185521,1565825439638984052,,0.582385842723,-0.0168320289327,0.40168631611,0.0169937592047,0.708461568369,0.0176119505336,0.705324916255,0.00458630538271,0.0363491308833,0.0719677735311,0.0563467371937,0.0667400487515,-0.0171696471277,0.310863495462,0.898093137333,0.323486266829,0.164364387512,0.111951356105,0.418556933242,1
1565825439648954337,185522,1565825439648954337,,0.582995473255,-0.0164511673872,0.401595478491,0.017019143811,0.708738627529,0.0174712432503,0.705049404121,0.00505722703149,0.0377171061098,0.0672910180591,0.031880844477,0.063998753641,-0.023628370315,-0.392020392547,1.6160820093,-0.549515486831,0.396841577198,0.330024575126,0.437169210196,1
